#			lamda				  u				 g				 	  r				  i				 z
     2.980000E+03   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.005000E+03   9.216590E-04   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.030000E+03   4.608295E-03   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.055000E+03   1.198157E-02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.080000E+03   2.396313E-02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.105000E+03   4.792627E-02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.130000E+03   8.571429E-02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.155000E+03   1.483871E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.180000E+03   2.211982E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.205000E+03   2.976958E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.230000E+03   3.732719E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.255000E+03   4.470046E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.280000E+03   5.170507E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.305000E+03   5.843318E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.330000E+03   6.451613E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.355000E+03   6.967742E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.380000E+03   7.400922E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.405000E+03   7.815668E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.430000E+03   8.138249E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.455000E+03   8.451613E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.480000E+03   8.838710E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.505000E+03   9.225807E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.530000E+03   9.483871E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.555000E+03   9.622120E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.580000E+03   9.705070E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.605000E+03   9.797235E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.630000E+03   9.907835E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     3.655000E+03   1.000000E+00   8.303350E-04   0.000000E+00   0.000000E+00   0.000000E+00
     3.680000E+03   9.990784E-01   2.214226E-03   0.000000E+00   0.000000E+00   0.000000E+00
     3.705000E+03   9.806452E-01   3.598118E-03   0.000000E+00   0.000000E+00   0.000000E+00
     3.730000E+03   9.437788E-01   5.258788E-03   0.000000E+00   0.000000E+00   0.000000E+00
     3.755000E+03   8.903226E-01   6.642680E-03   0.000000E+00   0.000000E+00   0.000000E+00
     3.780000E+03   8.175115E-01   9.410462E-03   0.000000E+00   0.000000E+00   0.000000E+00
     3.805000E+03   7.253456E-01   1.522281E-02   0.000000E+00   0.000000E+00   0.000000E+00
     3.830000E+03   6.193548E-01   2.850817E-02   0.000000E+00   0.000000E+00   0.000000E+00
     3.855000E+03   5.059908E-01   5.369499E-02   0.000000E+00   0.000000E+00   0.000000E+00
     3.880000E+03   3.806452E-01   9.022973E-02   0.000000E+00   0.000000E+00   0.000000E+00
     3.905000E+03   2.470046E-01   1.361749E-01   0.000000E+00   0.000000E+00   0.000000E+00
     3.930000E+03   1.336406E-01   1.898699E-01   0.000000E+00   0.000000E+00   0.000000E+00
     3.955000E+03   6.912442E-02   2.491005E-01   0.000000E+00   0.000000E+00   0.000000E+00
     3.980000E+03   3.870968E-02   3.108220E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.005000E+03   2.027650E-02   3.714365E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.030000E+03   9.216591E-03   4.276225E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.055000E+03   5.529955E-03   4.766122E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.080000E+03   3.686636E-03   5.184057E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.105000E+03   1.843318E-03   5.543869E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.130000E+03   0.000000E+00   5.856629E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.155000E+03   0.000000E+00   6.127871E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.180000E+03   0.000000E+00   6.368669E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.205000E+03   0.000000E+00   6.581788E-01   0.000000E+00   0.000000E+00   0.000000E+00
