 Ux  Lambda(nm) Sensitivity
        300.0     0.000
        305.0     0.016
        310.0     0.068
        315.0     0.167
        320.0     0.287
        325.0     0.423
        330.0     0.560
        335.0     0.673
        340.0     0.772
        345.0     0.841
        350.0     0.905
        355.0     0.943
        360.0     0.981
        365.0     0.993
        370.0     1.000
        375.0     0.989
        380.0     0.916
        385.0     0.804
        390.0     0.625
        395.0     0.423
        400.0     0.238
        405.0     0.114
        410.0     0.051
        415.0     0.019
        420.0     0.000
 Bx  Lambda(nm) Sensitivity
        360.0     0.000
        370.0     0.026
        380.0     0.120
        390.0     0.523
        400.0     0.875
        410.0     0.956
        420.0     1.000
        430.0     0.998
        440.0     0.972
        450.0     0.910
        460.0     0.793
        470.0     0.694
        480.0     0.587
        490.0     0.470
        500.0     0.362
        510.0     0.263
        520.0     0.169
        530.0     0.107
        540.0     0.049
        550.0     0.010
        560.0     0.000
 B   Lambda(nm) Sensitivity
        360.0     0.000
        370.0     0.030
        380.0     0.134
        390.0     0.567
        400.0     0.920
        410.0     0.978
        420.0     1.000
        430.0     0.978
        440.0     0.935
        450.0     0.853
        460.0     0.740
        470.0     0.640
        480.0     0.536
        490.0     0.424
        500.0     0.325
        510.0     0.235
        520.0     0.150
        530.0     0.095
        540.0     0.043
        550.0     0.009
        560.0     0.000
 V   Lambda(nm) Sensitivity
        470.0     0.000
        480.0     0.030
        490.0     0.163
        500.0     0.458
        510.0     0.780
        520.0     0.967
        530.0     1.000
        540.0     0.973
        550.0     0.898
        560.0     0.792
        570.0     0.684
        580.0     0.574
        590.0     0.461
        600.0     0.359
        610.0     0.270
        620.0     0.197
        630.0     0.135
        640.0     0.081
        650.0     0.045
        660.0     0.025
        670.0     0.017
        680.0     0.013
        690.0     0.009
        700.0     0.000
 R   Lambda(nm) Sensitivity
        550.0     0.000
        560.0     0.230
        570.0     0.740
        580.0     0.910
        590.0     0.980
        600.0     1.000
        610.0     0.980
        620.0     0.960
        630.0     0.930
        640.0     0.900
        650.0     0.860
        660.0     0.810
        670.0     0.780
        680.0     0.720
        690.0     0.670
        700.0     0.610
        710.0     0.560
        720.0     0.510
        730.0     0.460
        740.0     0.400
        750.0     0.350
        800.0     0.140
        850.0     0.030
        900.0     0.000
 I   Lambda(nm) Sensitivity
        700.0     0.000
        710.0     0.024
        720.0     0.232
        730.0     0.556
        740.0     0.786
        750.0     0.908
        760.0     0.963
        770.0     0.987
        780.0     0.991
        790.0     0.991
        800.0     1.000
        810.0     1.000
        820.0     0.990
        830.0     0.980
        840.0     0.950
        850.0     0.910
        860.0     0.860
        870.0     0.750
        880.0     0.560
        890.0     0.330
        900.0     0.150
        910.0     0.030
        920.0     0.000
 J   Lambda(nm) Sensitivity
       1040.0     0.000
       1060.0     0.021
       1080.0     0.112
       1100.0     0.421
       1120.0     0.324
       1140.0     0.474
       1160.0     0.633
       1180.0     0.728
       1200.0     0.775
       1220.0     0.811
       1240.0     0.827
       1260.0     0.881
       1280.0     0.936
       1300.0     0.912
       1320.0     0.785
       1340.0     0.675
       1360.0     0.038
       1380.0     0.115
       1400.0     0.076
       1420.0     0.034
       1440.0     0.000
 H   Lambda(nm) Sensitivity
       1460.0     0.000
       1480.0     0.152
       1500.0     0.439
       1520.0     0.860
       1540.0     0.944
       1560.0     0.979
       1580.0     0.947
       1600.0     0.992
       1620.0     0.991
       1640.0     0.993
       1660.0     0.994
       1680.0     0.992
       1700.0     0.987
       1720.0     0.951
       1740.0     0.871
       1760.0     0.838
       1780.0     0.714
       1800.0     0.521
       1820.0     0.020
       1840.0     0.000
 K   Lambda(nm) Sensitivity
       1940.0     0.000
       1960.0     0.120
       1980.0     0.200
       2000.0     0.300
       2020.0     0.550
       2040.0     0.740
       2060.0     0.550
       2080.0     0.766
       2100.0     0.855
       2120.0     0.902
       2140.0     0.940
       2160.0     0.938
       2180.0     0.954
       2200.0     0.944
       2220.0     0.961
       2240.0     0.976
       2260.0     0.967
       2280.0     0.965
       2300.0     0.908
       2320.0     0.878
       2340.0     0.835
       2360.0     0.820
       2380.0     0.750
       2400.0     0.640
       2420.0     0.206
       2440.0     0.097
       2460.0     0.031
       2480.0     0.000
 L   Lambda(nm) Sensitivity
       3040.0     0.000
       3080.0     0.020
       3120.0     0.090
       3160.0     0.380
       3200.0     0.300
       3240.0     0.500
       3280.0     0.610
       3320.0     0.410
       3360.0     0.500
       3400.0     0.610
       3440.0     0.700
       3480.0     0.850
       3520.0     0.880
       3560.0     0.840
       3600.0     0.840
       3640.0     0.840
       3680.0     0.860
       3720.0     0.650
       3760.0     0.190
       3800.0     0.040
       3840.0     0.000
 M   Lambda(nm) Sensitivity
       4440.0     0.000
       4480.0     0.130
       4520.0     0.340
       4560.0     0.300
       4600.0     0.390
       4640.0     0.500
       4680.0     0.440
       4720.0     0.160
       4760.0     0.350
       4800.0     0.330
       4840.0     0.440
       4880.0     0.370
       4920.0     0.370
       4960.0     0.230
       5000.0     0.070
       5040.0     0.030
       5080.0     0.000
