		lambda			 B				V					R
       3600.0000       0.0000000       0.0000000       0.0000000
       3700.0000     0.030000000       0.0000000       0.0000000
       3800.0000      0.13400000       0.0000000       0.0000000
       3900.0000      0.56700000       0.0000000       0.0000000
       4000.0000      0.92000000       0.0000000       0.0000000
       4100.0000      0.97800000       0.0000000       0.0000000
       4200.0000       1.0000000       0.0000000       0.0000000
       4300.0000      0.97800000       0.0000000       0.0000000
       4400.0000      0.93500000       0.0000000       0.0000000
       4500.0000      0.85300000       0.0000000       0.0000000
       4600.0000      0.74000000       0.0000000       0.0000000
       4700.0000      0.64000000       0.0000000       0.0000000
       4800.0000      0.53600000     0.030000000       0.0000000
       4900.0000      0.42400000      0.16300000       0.0000000
       5000.0000      0.32500000      0.45800000       0.0000000
       5100.0000      0.23500000      0.78000000       0.0000000
       5200.0000      0.15000000      0.96700000       0.0000000
       5300.0000     0.095000000       1.0000000       0.0000000
       5400.0000     0.043000000      0.97300000       0.0000000
       5500.0000    0.0090000000      0.89800000       0.0000000
       5600.0000       0.0000000      0.79200000      0.23000000
       5700.0000       0.0000000      0.68400000      0.74000000
       5800.0000       0.0000000      0.57400000      0.91000000
       5900.0000       0.0000000      0.46100000      0.98000000
       6000.0000       0.0000000      0.35900000       1.0000000
       6100.0000       0.0000000      0.27000000      0.98000000
       6200.0000       0.0000000      0.19700000      0.96000000
       6300.0000       0.0000000      0.13500000      0.93000000
       6400.0000       0.0000000     0.081000000      0.90000000
       6500.0000       0.0000000     0.045000000      0.86000000
       6600.0000       0.0000000     0.025000000      0.81000000
       6700.0000       0.0000000     0.017000000      0.78000000
       6800.0000       0.0000000     0.013000000      0.72000000
       6900.0000       0.0000000    0.0090000000      0.67000000
       7000.0000       0.0000000       0.0000000      0.61000000
       7100.0000       0.0000000       0.0000000      0.56000000
       7200.0000       0.0000000       0.0000000      0.51000000
       7300.0000       0.0000000       0.0000000      0.46000000
       7400.0000       0.0000000       0.0000000      0.40000000
       7500.0000       0.0000000       0.0000000      0.35000000
       7600.0000       0.0000000       0.0000000      0.30800000
       7700.0000       0.0000000       0.0000000      0.26600000
       7800.0000       0.0000000       0.0000000      0.22400000
       7900.0000       0.0000000       0.0000000      0.18200000
       8000.0000       0.0000000       0.0000000      0.14000000
       8100.0000       0.0000000       0.0000000      0.11800000
       8200.0000       0.0000000       0.0000000     0.096000000
       8300.0000       0.0000000       0.0000000     0.074000000
       8400.0000       0.0000000       0.0000000     0.052000000
       8500.0000       0.0000000       0.0000000     0.030000000
       8600.0000       0.0000000       0.0000000     0.024000000
       8700.0000       0.0000000       0.0000000     0.018000000
       8800.0000       0.0000000       0.0000000     0.012000000
       8900.0000       0.0000000       0.0000000    0.0060000000
       9000.0000       0.0000000       0.0000000       0.0000000
