		lambda			 J				H					K
       10400.000       0.0000000       0.0000000       0.0000000
       10500.000     0.021000000       0.0000000       0.0000000
       10600.000      0.11200000       0.0000000       0.0000000
       10700.000      0.42100000       0.0000000       0.0000000
       10800.000      0.32400000       0.0000000       0.0000000
       10900.000      0.47400000       0.0000000       0.0000000
       11000.000      0.63300000       0.0000000       0.0000000
       11100.000      0.72800000       0.0000000       0.0000000
       11200.000      0.77500000       0.0000000       0.0000000
       11300.000      0.81100000       0.0000000       0.0000000
       11400.000      0.82700000       0.0000000       0.0000000
       11500.000      0.88100000       0.0000000       0.0000000
       11600.000      0.93600000       0.0000000       0.0000000
       11700.000      0.91200000       0.0000000       0.0000000
       11800.000      0.78500000       0.0000000       0.0000000
       11900.000      0.67500000       0.0000000       0.0000000
       12000.000     0.038000000       0.0000000       0.0000000
       12100.000      0.11500000       0.0000000       0.0000000
       12200.000     0.076000000       0.0000000       0.0000000
       12300.000     0.034000000       0.0000000       0.0000000
       12400.000       0.0000000       0.0000000       0.0000000
       12500.000       0.0000000       0.0000000       0.0000000
       12600.000       0.0000000       0.0000000       0.0000000
       12700.000       0.0000000       0.0000000       0.0000000
       12800.000       0.0000000       0.0000000       0.0000000
       12900.000       0.0000000       0.0000000       0.0000000
       13000.000       0.0000000       0.0000000       0.0000000
       13100.000       0.0000000       0.0000000       0.0000000
       13200.000       0.0000000       0.0000000       0.0000000
       13300.000       0.0000000       0.0000000       0.0000000
       13400.000       0.0000000       0.0000000       0.0000000
       13500.000       0.0000000       0.0000000       0.0000000
       13600.000       0.0000000       0.0000000       0.0000000
       13700.000       0.0000000       0.0000000       0.0000000
       13800.000       0.0000000       0.0000000       0.0000000
       13900.000       0.0000000       0.0000000       0.0000000
       14000.000       0.0000000       0.0000000       0.0000000
       14100.000       0.0000000       0.0000000       0.0000000
       14200.000       0.0000000       0.0000000       0.0000000
       14300.000       0.0000000       0.0000000       0.0000000
       14400.000       0.0000000       0.0000000       0.0000000
       14500.000       0.0000000       0.0000000       0.0000000
       14600.000       0.0000000       0.0000000       0.0000000
       14700.000       0.0000000      0.15200000       0.0000000
       14800.000       0.0000000      0.43900000       0.0000000
       14900.000       0.0000000      0.86000000       0.0000000
       15000.000       0.0000000      0.94400000       0.0000000
       15100.000       0.0000000      0.97900000       0.0000000
       15200.000       0.0000000      0.94700000       0.0000000
       15300.000       0.0000000      0.99200000       0.0000000
       15400.000       0.0000000      0.99100000       0.0000000
       15500.000       0.0000000      0.99300000       0.0000000
       15600.000       0.0000000      0.99400000       0.0000000
       15700.000       0.0000000      0.99200000       0.0000000
       15800.000       0.0000000      0.98700000       0.0000000
       15900.000       0.0000000      0.95100000       0.0000000
       16000.000       0.0000000      0.87100000       0.0000000
       16100.000       0.0000000      0.83800000       0.0000000
       16200.000       0.0000000      0.71400000       0.0000000
       16300.000       0.0000000      0.52100000       0.0000000
       16400.000       0.0000000     0.020000000       0.0000000
       16500.000       0.0000000       0.0000000       0.0000000
       16600.000       0.0000000       0.0000000       0.0000000
       16700.000       0.0000000       0.0000000       0.0000000
       16800.000       0.0000000       0.0000000       0.0000000
       16900.000       0.0000000       0.0000000       0.0000000
       17000.000       0.0000000       0.0000000       0.0000000
       17100.000       0.0000000       0.0000000       0.0000000
       17200.000       0.0000000       0.0000000       0.0000000
       17300.000       0.0000000       0.0000000       0.0000000
       17400.000       0.0000000       0.0000000       0.0000000
       17500.000       0.0000000       0.0000000       0.0000000
       17600.000       0.0000000       0.0000000       0.0000000
       17700.000       0.0000000       0.0000000       0.0000000
       17800.000       0.0000000       0.0000000       0.0000000
       17900.000       0.0000000       0.0000000       0.0000000
       18000.000       0.0000000       0.0000000       0.0000000
       18100.000       0.0000000       0.0000000       0.0000000
       18200.000       0.0000000       0.0000000       0.0000000
       18300.000       0.0000000       0.0000000       0.0000000
       18400.000       0.0000000       0.0000000       0.0000000
       18500.000       0.0000000       0.0000000       0.0000000
       18600.000       0.0000000       0.0000000       0.0000000
       18700.000       0.0000000       0.0000000       0.0000000
       18800.000       0.0000000       0.0000000       0.0000000
       18900.000       0.0000000       0.0000000       0.0000000
       19000.000       0.0000000       0.0000000       0.0000000
       19100.000       0.0000000       0.0000000       0.0000000
       19200.000       0.0000000       0.0000000       0.0000000
       19300.000       0.0000000       0.0000000       0.0000000
       19400.000       0.0000000       0.0000000       0.0000000
       19500.000       0.0000000       0.0000000      0.12000000
       19600.000       0.0000000       0.0000000      0.20000000
       19700.000       0.0000000       0.0000000      0.30000000
       19800.000       0.0000000       0.0000000      0.55000000
       19900.000       0.0000000       0.0000000      0.74000000
       20000.000       0.0000000       0.0000000      0.55000000
       20100.000       0.0000000       0.0000000      0.76600000
       20200.000       0.0000000       0.0000000      0.85500000
       20300.000       0.0000000       0.0000000      0.90200000
       20400.000       0.0000000       0.0000000      0.94000000
       20500.000       0.0000000       0.0000000      0.93800000
       20600.000       0.0000000       0.0000000      0.95400000
       20700.000       0.0000000       0.0000000      0.94400000
       20800.000       0.0000000       0.0000000      0.96100000
       20900.000       0.0000000       0.0000000      0.97600000
       21000.000       0.0000000       0.0000000      0.96700000
       21100.000       0.0000000       0.0000000      0.96500000
       21200.000       0.0000000       0.0000000      0.90800000
       21300.000       0.0000000       0.0000000      0.87800000
       21400.000       0.0000000       0.0000000      0.83500000
       21500.000       0.0000000       0.0000000      0.82000000
       21600.000       0.0000000       0.0000000      0.75000000
       21700.000       0.0000000       0.0000000      0.64000000
       21800.000       0.0000000       0.0000000      0.20600000
       21900.000       0.0000000       0.0000000     0.097000000
       22000.000       0.0000000       0.0000000     0.031000000
       22100.000       0.0000000       0.0000000       0.0000000
       22200.000       0.0000000       0.0000000       0.0000000
       22300.000       0.0000000       0.0000000       0.0000000
       22400.000       0.0000000       0.0000000       0.0000000
       22500.000       0.0000000       0.0000000       0.0000000
       22600.000       0.0000000       0.0000000       0.0000000
       22700.000       0.0000000       0.0000000       0.0000000
       22800.000       0.0000000       0.0000000       0.0000000
       22900.000       0.0000000       0.0000000       0.0000000
       23000.000       0.0000000       0.0000000       0.0000000
       23100.000       0.0000000       0.0000000       0.0000000
       23200.000       0.0000000       0.0000000       0.0000000
       23300.000       0.0000000       0.0000000       0.0000000
       23400.000       0.0000000       0.0000000       0.0000000
       23500.000       0.0000000       0.0000000       0.0000000
       23600.000       0.0000000       0.0000000       0.0000000
       23700.000       0.0000000       0.0000000       0.0000000
       23800.000       0.0000000       0.0000000       0.0000000
       23900.000       0.0000000       0.0000000       0.0000000
       24000.000       0.0000000       0.0000000       0.0000000
       24100.000       0.0000000       0.0000000       0.0000000
       24200.000       0.0000000       0.0000000       0.0000000
       24300.000       0.0000000       0.0000000       0.0000000
       24400.000       0.0000000       0.0000000       0.0000000
       24500.000       0.0000000       0.0000000       0.0000000
       24600.000       0.0000000       0.0000000       0.0000000
       24700.000       0.0000000       0.0000000       0.0000000
       24800.000       0.0000000       0.0000000       0.0000000
